product_id,product_name,sku,current_barcode,current_barcode_status,candidate_gtin,gtin_type,check_digit_valid,evidence_class,evidence_source,evidence_url_or_reference,market,confidence,proposed_action,human_review_required,notes
"444bc290-5d07-45bf-93ab-03b68554cc32","Aarong Liquid Milk 1ltr","DE-ARG-GEN-1L","DE-ARG-GEN-1L","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"3d7c76cf-0b13-423e-be2f-c472982f6cfd","Aarong Standardized Milk 500ml","DE-ARG-SDM-500ML","DE-ARG-SDM-500ML","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"279dd4c5-edb0-4365-9ac6-d5cb0729a4f7","ABC Hot Gulai Chicken Flavour - CUP","SN-ABC-GEN-60G","SN-ABC-GEN-60G","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"b1a686a7-9f23-47bf-8d78-925af6888271","ACI Chinigura 50KG Loose","RG-ACI-LSE","RG-ACI-LSE","LEGACY_SKU_COPY","","","false","NO_GTIN_FOR_STORE_SOLD_UNIT","Store bulk or loose commodity unit","catalog-identity","Bangladesh","HIGH","PRESERVE_INTERNAL_SKU","true","Lucky Store created loose consumer unit; no individual retail GTIN for this store-sold unit"
"8802ba38-3a89-41c6-96b0-a0ebeb62d9ce","AER Pocket Perfume","AF-AER-PPF","AF-AER-PPF","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"255c2229-0c22-4661-af06-3b45ee21393e","AER Room Spray","AF-AER-RSP","AF-AER-RSP","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"4eae3dff-5f07-45d9-8c3a-0acd66850061","AMA 3 in 1 Coffee Mix 14gm","DE-AMA-GEN-14G","DE-AMA-GEN-14G","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"3448ed8a-9c0b-49ab-b249-f096fbc210c7","AMA Classic Coffee 1gm","DE-AMA-GEN-1G","DE-AMA-GEN-1G","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"ac68b2c3-ae76-48e5-8a9a-60d836a92b40","Aril Assorted Lollipop","CC-AR-ASL","CC-AR-ASL","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"5fcabfea-eaa1-4a13-a493-3d0051255216","Aril Chewing Gum Box 75pcs","CC-ARL-CHG","CC-ARL-CHG","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"01edf1e7-818f-492d-a7c7-c08bd93dda2b","Ata - loose","CK-ATA-LSE","CK-ATA-LSE","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"16eece31-f416-4db2-9c0c-371d2696a917","Avonee Pant Style Baby Diaper (9-14Kg) - L 48pcs","BY-AVN-PTS","BY-AVN-PTS","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"685b9d11-a04a-4ef4-8753-712b21fdb75b","Awei Data Cable Micro USB (CL-115M)","EL-AWI-GEN","EL-AWI-GEN","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"c2954038-a028-46bd-99ee-ebad09f8e939","Axe Apollo Deodorant Body Spray","PC-AXE-GEN","PC-AXE-GEN","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"9aaf571a-69a2-4dbf-8bf5-a253f93eaf5a","Axe Black Deodorant Body Spray -150ml","PC-AXE-GEN-150ML","PC-AXE-GEN-150ML","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
"e63501ef-fdef-487e-8267-051dd5906efa","Axe Musk Deodorant Body Spray - 150ml","PC-AXE-GEN-150ML-1","PC-AXE-GEN-150ML-1","LEGACY_SKU_COPY","","","false","GTIN_NOT_VERIFIED","","","Bangladesh","LOW","AWAIT_PHYSICAL_PACK_INSPECTION","true","Legacy SKU copy in barcode field; physical pack inspection in store required to record actual manufacturer EAN/UPC"
